GEO_ID,NAME,S1501_C01_001E,id,Ratio
0500000US12001,"Alachua County, Florida",56173,12001,0.032485734
0500000US12003,"Baker County, Florida",2406,12003,0.001391428
0500000US12005,"Bay County, Florida",13864,12005,0.00801777
0500000US12007,"Bradford County, Florida",2093,12007,0.001210415
0500000US12009,"Brevard County, Florida",42660,12009,0.024670953
0500000US12011,"Broward County, Florida",148798,12011,0.086052237
0500000US12013,"Calhoun County, Florida",941,12013,0.000544195
0500000US12015,"Charlotte County, Florida",8809,12015,0.005094384
0500000US12017,"Citrus County, Florida",8002,12017,0.004627683
0500000US12019,"Clay County, Florida",16751,12019,0.009687368
0500000US12021,"Collier County, Florida",23818,12021,0.013774326
0500000US12023,"Columbia County, Florida",6407,12023,0.003705269
0500000US12027,"DeSoto County, Florida",2881,12027,0.001666128
0500000US12029,"Dixie County, Florida",1147,12029,0.000663328
0500000US12031,"Duval County, Florida",85319,12031,0.049341327
0500000US12033,"Escambia County, Florida",35829,12033,0.020720477
0500000US12035,"Flagler County, Florida",6931,12035,0.004008307
0500000US12037,"Franklin County, Florida",725,12037,0.000419279
0500000US12039,"Gadsden County, Florida",3438,12039,0.00198825
0500000US12041,"Gilchrist County, Florida",1771,12041,0.001024197
0500000US12043,"Glades County, Florida",737,12043,0.000426219
0500000US12045,"Gulf County, Florida",963,12045,0.000556918
0500000US12047,"Hamilton County, Florida",852,12047,0.000492725
0500000US12049,"Hardee County, Florida",2318,12049,0.001340536
0500000US12051,"Hendry County, Florida",3775,12051,0.002183142
0500000US12053,"Hernando County, Florida",12648,12053,0.007314538
0500000US12055,"Highlands County, Florida",5879,12055,0.003399919
0500000US12057,"Hillsborough County, Florida",126879,12057,0.073376133
0500000US12059,"Holmes County, Florida",1420,12059,0.000821208
0500000US12061,"Indian River County, Florida",10210,12061,0.005904604
0500000US12063,"Jackson County, Florida",3839,12063,0.002220154
0500000US12065,"Jefferson County, Florida",1150,12065,0.000665063
0500000US12067,"Lafayette County, Florida",768,12067,0.000444147
0500000US12069,"Lake County, Florida",24643,12069,0.014251437
0500000US12071,"Lee County, Florida",51252,12071,0.029639842
0500000US12073,"Leon County, Florida",61768,12073,0.035721411
0500000US12075,"Levy County, Florida",2883,12075,0.001667285
0500000US12077,"Liberty County, Florida",726,12077,0.000419857
0500000US12079,"Madison County, Florida",1215,12079,0.000702654
0500000US12081,"Manatee County, Florida",25593,12081,0.014800837
0500000US12083,"Marion County, Florida",24583,12083,0.014216738
0500000US12085,"Martin County, Florida",9594,12085,0.005548362
0500000US12086,"Miami-Dade County, Florida",222021,12086,0.128398256
0500000US12087,"Monroe County, Florida",5042,12087,0.002915868
0500000US12089,"Nassau County, Florida",5445,12089,0.00314893
0500000US12091,"Okaloosa County, Florida",18749,12091,0.010842843
0500000US12093,"Okeechobee County, Florida",2994,12093,0.001731478
0500000US12095,"Orange County, Florida",144003,12095,0.083279213
0500000US12097,"Osceola County, Florida",35073,12097,0.020283271
0500000US12099,"Palm Beach County, Florida",109697,12099,0.06343951
0500000US12101,"Pasco County, Florida",38535,12101,0.0222854
0500000US12103,"Pinellas County, Florida",61877,12103,0.035784448
0500000US12105,"Polk County, Florida",59343,12105,0.034318996
0500000US12107,"Putnam County, Florida",4997,12107,0.002889844
0500000US12109,"St. Johns County, Florida",18422,12109,0.010653734
0500000US12111,"St. Lucie County, Florida",22979,12111,0.013289119
0500000US12113,"Santa Rosa County, Florida",14095,12113,0.008151361
0500000US12115,"Sarasota County, Florida",24174,12115,0.013980207
0500000US12117,"Seminole County, Florida",37969,12117,0.021958073
0500000US12119,"Sumter County, Florida",3489,12119,0.002017744
0500000US12121,"Suwannee County, Florida",3331,12121,0.00192637
0500000US12123,"Taylor County, Florida",1520,12123,0.00087904
0500000US12125,"Union County, Florida",1166,12125,0.000674316
0500000US12127,"Volusia County, Florida",43610,12127,0.025220353
0500000US12129,"Wakulla County, Florida",2123,12129,0.001227764
0500000US12131,"Walton County, Florida",4160,12131,0.002405794
0500000US12133,"Washington County, Florida",1887,12133,0.001091282
